"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2025-10-22,"English (American)","WG","WG",394578,83711,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394583,83716,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394584,83717,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394586,83719,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394589,83722,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394594,83727,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394595,83728,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394596,83729,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394603,83736,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394604,83737,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394605,83738,8,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394608,83741,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394620,83753,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394621,83754,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394640,83773,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394652,83785,8,"production",4,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391364,4053,9,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391396,4085,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391397,4086,9,"production",12,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391506,4195,9,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391517,4206,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391532,4221,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391542,4231,9,"production",7,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391544,4233,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391552,4241,9,"production",4,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391555,4244,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391556,4245,9,"production",4,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391557,4246,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391570,4259,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391573,4262,9,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391612,4301,9,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391614,4303,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391625,4314,9,"production",8,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391634,4323,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391638,4327,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391686,4375,9,"production",13,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391708,4397,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391710,4399,9,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391716,4405,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391717,4406,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391718,4407,9,"production",11,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391719,4408,9,"production",6,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391722,4411,9,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391781,4470,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391782,4471,9,"production",4,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391783,4472,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391784,4473,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391789,4478,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391819,4508,9,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391820,4509,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391821,4510,9,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391824,4513,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391828,4517,9,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391830,4519,9,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391846,4535,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391849,4538,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391882,4571,9,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391883,4572,9,"production",4,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391888,4577,9,"production",5,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391889,4578,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391894,4583,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391898,4587,9,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391905,4594,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391908,4597,9,"production",4,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391909,4598,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391912,4601,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391932,4621,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391933,4622,9,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",391950,4639,9,"production",0,3686,TRUE,TRUE,TRUE
